service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
go-pgx,mysql,1656405922,True,20,520,350111,350111,0,22605331.692307692,22915072.0,0.041639455210165724,0.03460055850622823,28081579342.0,994767454.8148148,1008279552.0,0.51528561058946,0.613822268447205,181003677675.0
go-pgx,mysql,1656406748,True,20,523,356319,356319,0,22784508.738853503,22966272.0,0.041765684166191884,0.03391401684907834,27816885173.0,996604265.4117647,1012387840.0,0.522825887793772,0.6138358637726421,183360288624.0
go-pgx,no-index,1655974738,True,20,1049,704928,704928,0,55021883.07692308,55566336.0,0.05914429369429469,0.051436188213166145,33115561569.0,669739469.560054,731074560.0,0.7385323977930679,0.9474816242742433,82074289327.0
go-pgx,no-index,1655975583,True,20,1047,703584,703584,0,52898789.22875817,53084160.0,0.059676757060822226,0.052457388872237,33881399590.0,666634121.1551957,734064640.0,0.7396857310639894,0.9469478697515528,82822975083.0
go-pgx,no-index,1655976420,True,20,1043,700896,700896,0,57542458.23895254,58228736.0,0.059766974847848806,0.052530620794537554,33966460545.0,664786551.0054054,730658816.0,0.7363913628015619,0.9482971940813585,82821544737.0
go-pgx,no-index,1655977255,True,20,1048,704256,704256,0,53476046.47868852,53852160.0,0.05981862889006428,0.052162689699783014,33249517177.0,660214627.8434548,731484160.0,0.7387566916041025,0.9477373032398754,82994973193.0
go-pgx,no-index,1655978091,True,20,1045,702240,702240,0,55745529.30718954,56188928.0,0.05957050340858321,0.051889114330555784,33038802639.0,664226710.8324324,732782592.0,0.7365991269970008,0.9482662009547511,83023391763.0
go-pgx,no-index,1655978927,True,20,1041,699552,699552,0,56115146.281967215,56451072.0,0.059042618983936514,0.051850748208612796,32685520725.0,658013947.4966171,735440896.0,0.7384615404508726,0.9479454934944238,73748722416.0
go-pgx,no-index,1655979762,True,20,1044,701568,701568,0,55899718.2745098,56322048.0,0.05944154061702175,0.051953291506133384,33404744892.0,669838966.473613,735956992.0,0.7364168526218621,0.9487043511801242,82619498857.0
go-pgx,no-index,1655980597,True,20,1045,702240,702240,0,58370549.07060755,58929152.0,0.0589076510215,0.05152454696029777,32949061559.0,673354557.1497976,735408128.0,0.7359981974226061,0.9479324921739131,83092047932.0
go-pgx,no-index,1655981434,True,20,1046,702912,702912,0,53551231.37152209,53874688.0,0.059676642270687856,0.05262298973074515,33108672714.0,663629990.054054,741574656.0,0.7363153195671907,0.9475346903433649,82104016250.0
go-pgx,no-index,1655982271,True,20,1042,700224,700224,0,53239673.704918034,53792768.0,0.059407723901033986,0.05181062018147685,33398286226.0,662625518.0108109,735791104.0,0.7358577345745946,0.9478778935054379,82896644680.0
go-pgx,no-pagination,1656104081,True,20,1225,797475,797475,0,53656962.09836066,53764096.0,0.06232244070477724,0.05380327122436296,32774169980.0,852749005.7699594,951975936.0,0.7310753619078643,0.9435215755089451,71709249762.0
go-pgx,no-pagination,1656104923,True,20,1224,796824,796824,0,60694025.21767594,61452288.0,0.06243597749626667,0.054349292874845107,32568262886.0,862538818.7826087,955422720.0,0.7323455318604404,0.9441524402017767,70999785440.0
go-pgx,no-pagination,1656105758,True,20,1223,796173,796173,0,62743819.34975369,63062016.0,0.06248467220655672,0.053555477894736844,32768186527.0,856977985.9972863,960528384.0,0.7328292488602747,0.9443649956763435,70950649152.0
